Topic,Count,Name,Representation,Representative_Docs
39,111,39_was_me_and_he,"['was', 'me', 'and', 'he', 'her', 'she', 'my', 'said', 'him', 'to']","['Um. So this incident recently just happened. I met 2 people in a Roblox game and 1 was a boy and the other was a girl. We talked for a bit and they said their ages, 14 turning 15. The girl told the boy that they would look good together, he responded with lol. Which I kind of questioned, but I didn’t say anything. So we all added each other and made a group chat and that was it. Two days later, she told us that she had something to tell us and she said she was 22 years old. So me wanting to be a criminal prosecutor when I grow up, I went off on her. Then the boy private messaged me and told me that he couldn’t believe it. He didn’t know what to do and also that she told him other stuff as well. That same day we all met, but I had left early. So he said when I was gone, she said stuff like, he was cute, he made her blush, and that they would look good together. So I went back to the group chat and confronted her saying let’s hop on vc. She questioned it, but I told her wanting a clear explanation and answer isn’t weird. But she refused. Then she told us it was all a joke saying she saw it on social media, which I find funny because I never seen any video with someone pretending to be an older person talking to a minor as a joke. I told her that is not funny AT ALL and that kids are truly affected by this, and which the boy had told me in private message that he was traumatized. And the day after of meeting them, I heard her voice when she said hi and the first thing I thought of is that she sounded way older, but I didn’t question it at the time. I reported her three times already, but of course Roblox won’t do anything about it. (PLEASE SOMEONE READ THIS HER USER IS: Itsyagirltiti02) THANKS', 'Story 1.\n\nHey schlep, not sure if u can catch this predator or this guy is a predator a few years ago, i was playing apex legends with my brother and a guy randomly approached me (btw his user was Mr_Noob) i had vc and he had too so we started chatting. I was 10 by the time, and i wanted friends. He started chatting with me day by day. One day, he asked me for my number and i refused. Then, he gave me his number. We started texting and he always said how he really wanted to make me pregnant and have kids. He sent me a GIF of a woman on top of a man and more innapropriate stuff. He was 25, and saying at the age of 9 i would be a perfect girlfriend, and he even asked me where i live. Of course i didnt say anything. Then he suddenly wanted to facetime... He kept calling me over and over... I responded and he actually looked kinda crappy. He looked like this guy from this video but not exactly like it. He told me he was from Pakistan, and he wanted to meet me irl. I blocked him after that. Still scared of predators...\nStory 2.\nI was just doing some fxf (fxf means follow x follow basically u follow someone\'s channel and they follow u back) and this one guy, he was a minor tho, started texting me. It was worse than i thought. I had to get my parents involved. He wouldnt leave me alone, and he would say that he is sorry and he loves me. He sent me n*ked GIFs from where he could find. I still have his number tho, but if hes a minor i cant do anything (He is 14 or 15)\nWell, things got worse. He actually asked me for my location, face, and sent me a lot of sus emojis. And he actually told me how he really wants to make kids with me. I was uncomfortable and everytime i told him to f*ck off and leave me alone, he would say ""im sorry beautiful, im truly sorry..~""\nI never forgave him. He even tried to stalk me.\n\nIm just telling this story for everyone to hear, maybe they have some similar stories!\n\n From schlep, i just learned a few things i want to tell everyone:\n1. Even if somebody called you pretty but u met the person online, dont accept it as a compliment, the person is trying to gather all your trust and trick you.\n2. NEVER SHARE YOUR PERSONAL DATA! Even your location can cause danger. Please dont give your location to strangers.\n3. If you dont know who to call for help, call your parents. Your parents know better and will help you.\n4. Block the person! Yes, i agree, many persons love attention but, its a dangerous thing.\n5. NEVER SHOW YOUR FACE!! I did but, hey i was kinda lonely back then and i needed some friends, but please dont do that because its kind of dangerous...\n\nRoblox isnt a safe platform anymore. David promised its a safe game to play, but looks like now, its not anymore..\n#FREESCHLEP!!\n\nStay safe yall', 'Hi, so I went through something close to this about two years ago when I was 12, so I was on tiktok and someone followed me and  because I like to try and be nice i followed them back and he messaged me, at first it was innocent but then he asked me age and I said 12 and he then said ""oh well I\'m older"" when I asked his age he said 24 now you would think me as a 12 year old I would stop talking to him but I was still a little innocent and my survival instinct was and still is less than a deers but anyways he ask for my number and my dumb self actually gave it to him he also asked my name and I asked his he said his name but I\'m not sure I should say it I then proceed to send him a Pic of myself and he did the same I also gave him my school my mom\'s name age job but luckily I was smart enough to know not to give him my address now this is Jamaica but I grew up around people who mostly talk american so I did not understand what he meant when he said b**dy I thought he meant a dog it was not a dog so when he asked if I thought I could handle his b**dy I said yes luckily before he could do anything to me my mother stopped it last year he texted me but I just told him not to text me again and blocked him afterwards I thought I was in trouble so I called my mom and told her\n\n(If you think this is fake I don\'t blame you I still can\'t believe it happened either but it did also while I was talking to him a 11 year old texted me to join his Snapchat and I did  and someone in the group had a 13 year old friend that he introduced me to and this b!tch sent me a d!*k Pic as soon as I said hi he also tried to get me to send him a Pic so I sent him a Pic of me middle finger when I complained to the 24 year old he said ""at least he\'s in your age group"" when I told him it made me uncomfortable he said to block him and I think I did I forgot so yeah this happened to me when I was 12 innocent and naive)']"
40,106,40_math_predator_with_equilateral,"['math', 'predator', 'with', 'equilateral', 'equations', 'teaching', '1443', 'roblox', 'teacher', '1444']","['""Math with a roblox predator!"" 😀😃', '“Math with a Roblox predator!” 💀', '""Math with a roblox predator!""']"
41,103,41_predator_wasnt_he_chill,"['predator', 'wasnt', 'he', 'chill', 'nice', 'if', 'guy', 'be', 'would', 'sounds']","['I know he is a really bad guy but if he wasnt a predator he kinda seems like he could be a cool guy', 'bro would be a chill guy if he wasnt a predator', ""if he wasnt a predator, i feel like he'd be a good guy""]"
42,100,42_cute_arrest_being_too,"['cute', 'arrest', 'being', 'too', 'for', 'tooo', 'toooo', 'imma', 'might', 'gonna']","['“im gonna arrest u for being too cute!!❤️”', 'im gonna arrest you for being too cute🤩🥰😎', 'I’m gonna arrest you for being too cute']"
43,100,43_detroit_human_become_theme,"['detroit', 'human', 'become', 'theme', 'connor', 'connors', 'music', 'dbh', 'soundtrack', 'background']","['also detroit become human music', 'Detroit Become human music <3', 'Detroit become human music!']"
44,95,44_sound_effects_effect_sword,"['sound', 'effects', 'effect', 'sword', 'inscryption', 'paintball', 'sounds', 'rivals', 'censoring', '723']","['paintball gun sound from rivals sound effect is crazy 21:15', 'i love the roblox sound effects for the censoring', 'The sound effects 😭']"
45,87,45_oh_wow_nah_hell,"['oh', 'wow', 'nah', 'hell', 'omg', 'yessir', 'lmfao', 'yo', 'yaay', 'cray']","['OH', 'OH…!', 'OH HELL NO 😭']"
46,83,46_netflix_series_documentary_movie,"['netflix', 'series', 'documentary', 'movie', 'feels', 'show', 'this', 'should', 'quality', 'like']","['This guy needs to make this a Netflix series.\n\n(Its also Netflix Documentary quality as other ppl said)', 'Make this series a Netflix documentary', 'Is this netflix']"
47,79,47_censor_ages_age_why,"['censor', 'ages', 'age', 'why', 'censored', 'censoring', 'question', 'the', 'do', 'bleep']","['Why do you censor the age?', 'why do they censor the ages?', 'Why do you censor ages??']"
48,79,48_protecting_us_thank_safe,"['protecting', 'us', 'thank', 'safe', 'thanks', 'keeping', 'for', 'you', 'saving', 'bless']","['Thank you for protecting us', 'thank you for protecting us :)', 'Thank you for protecting us']"
